Physical impairments,Serious Adverse Events in Clinical Settings,Product Issues / Malfunction,Respiratory and Neurological Symptoms,General Discomfort and Systemic Symptoms,Device Malfunction and Pressure Loss,Coronary Artery Complications and Stenosis,Electrocardiogram Findings in Myocardial Injury and Ischemia,"Clinical Manifestations of Skin, Vascular, and Systemic Disorders",Device-Related Mechanical Failures in DES Interventions,Calcification-Related Complications,Cardiac Events and Arrhythmic Complications in Cardiovascular Procedures
able to drink things,abnormal damage,adverse complication,agonal breathing,air tightness,anatomical resistance,aneurysm,angina st segment elevation,ankle edema,balloon break fracture,bulky calcification,acute angina
able to sleep,accidental movement,agent leak,air cramping in,backache,antegrade flow,anomaly,anterior q waves,black stool,balloon damage,ca lcification,angina and rhythm changes
acutely unstable,acute injury,air aspiration,breathlessness,blurred vision,attenuation,anterior infarct,anterior st elevation,black tarry stool,balloon dog bone,calcific stenosis,angina symptom
akinesia,acute kink,air leak,breathlessness saturation,body ache,axial deformation,anterior ischemia,anterior st segment elevation,blisters,balloon tear,calcific structure,atropine
akinesis,adverse cardiac event,air tight,chest symptoms,burning feeling,balloon deformation,anterior defect,anterior t wave inversion,blood like substance,balloon torn,calcification,cardiovascular cv symptoms
alteration in mental status,adverse cardiovascular events,anatomy resistance,crepitations,burning sensation,bend or kinks,anterior hypokinesia,apical thrill,blood present,bent shaft,calcification angulation,clopidogrel
alteration of mental status,adverse cerebral,back flow,diaphoresis,chest burning,bends kinks,anteroseptal infarct,av block st elevation,blood residue,blow up,calcification deformation,electrocardiogram changes
altered mental status,adverse clinical events,backflow,difficulty in breathing,chills,blood flow interruption,aortic insufficiency,inferior leads,bloody stool,branch closure,calcification deformation issue,prasugrel
apneic,adverse consequences,balloon break,difficulty walking,cold sweat,compromise of flow,aortic stenosis,inferior st elevation,brittle,break fracture,calcification deformation problem,sleep apnea
apneic pulse,adverse event product problem,balloon burst,dizziness,cold sweating,contamination material deformation,aortic valve sclerosis,inferior st segment elevation,brown marks stains,breakage,calcification or tortuosity,slow flow symptoms
brain stem reflexes,adverse patient effect,balloon burst leak,dizziness and,cold sweats,crush deformation,aortic valve stenosis,inverted t waves,bruise,broke in pieces,calcification pre dilatation,stable angina
brainstem reflex,adverse patient sequelae,balloon contrast,dizziness weakness,coldness,dampened flow,apical infarction,isr pattern,bruits,broke into parts,calcification resistance,anti dysrrhythmia
broke off,adverse sequela,balloon displacement,dizzy short of breath,cough,degradation,apical stenosis,lateral t wave changes,bulging,broke into pieces,calcification stenosis,arrhythmia
buckling,adverse sequelae,balloon expansion,dyspnea,disturbing feeling,detachment,arterial dissection,p waves marching,cold skin clamminess,broken off,calcification structure,arrhythmic
can barely move,adverse symptoms,balloon inflation,fall loss of consciousness dyspnea,dizzy,dismantled,artery deviation,qrs wave duration,crepitation,broken piece,calcification tortuosity,asymptomatic
carbon dioxide went down,bleed event,balloon leak,falling short of breath,dryness,distorted,artery rupture,r wave progression,crumble up,broken pieces,calcification wear,asystole
catch his breath,bleed events,balloon leakage,frequency of symptoms,emesis,distortion,atherosclerosis,st abnormality,curled up,broken shaft,calcifications,asystole symptoms
change in mental status,bleeding event,balloon material,heart palpitations,fatigue,decreased permeability,balloon occlusion,st and t wave,cyanosis,bulge,calcified,asystolic
cognitive deficit,bleeding stroke,balloon pinhole,malaise weakness,fatigued,deformation,bidirectional dissection,st and t wave abnormality,cyanotic,carina shift,calcified age,asystolic state
corneal gag,bleeding stroke vessel,balloon pinhole leak,night sweats,general weakness,deformation damage,bifurcation,st and t wave changes,de formed,coating damage,calcified anatomy,atrial fibrillation
corneal reflexes,blood loss,balloon slippage,palpitation,generalized,deformation fracture,bifurcation complex morphology,st elevations,dried blood residue,corrosion,calcified area,atrial fibrillation episode
cough reflex,branch loss,balloon split,palpitation episodes,getting any better,deformation kinks,branch block,st or t wave changes,dried residue,cut fracture,calcified carina,atrial flutter
coughing up,brief episode,balloon stickiness,palpitations,headache,deformation problem,branch occlusion,st segment abnormality,dry mouth,damage tip,calcified disease,atrial rhythm
could not walk,cardiac arrest,bleed out,palpitations and,headaches,deformation uplifted,branch stenosis,st segment changes,ecchy,damaged area,calcified lesions,atrioventricular block
couldn t breathe properly,cardiac arrest symptoms,bleeding complication,premature heartbeat palpitations,heartburn,deformed,break dissection,st segment depression,edema,damaged tip,calcified nodule,
crimped formation,cardiac death,blocked flow,progression in symptoms,heavy feeling,deformity,bundle branch block,st segment elevation,emaciation,deform,calcified vessel,
crimped in,cardiac deaths,blood clot,progression of symptoms,itchiness,delayed positioning visibility,cad stenosis,st segment elevations,enlarged pupils,delayed healing,degrees calcification,
crimped position,cardiac episode,blood contrast,quality of life,itching,device malfunction,calcium stenosis,st segments,erosions,disc bulge,eccentric calcification,
decreased activity,cardiac event,blood flow delay,short of breath,itchy,dissociation,cardiac anomaly,st t abnormality,erythema,displaced,heavily calcified,
delay in procedure,cardiac events,blood leak,shortness breath,light headed,distal tip damage,carotid artery,st t segment changes,flimsy,distortion fracture,heavy vessel calcification,
delay of procedure,cardiovascular death,blood return,shortness of breath,light headedness,event deformation,collateral artery,st t wave abnormalities,foul smelling,dog bone,high calcification deformation problem,
delirious,cardiovascular events,burst leak,shortness of breath and,lightheadedness,failed to deflate,complex bifurcation lesions,st t wave changes,fuzzy material,dog boned,lesion calcification,
delirium,cardiovascular mortality,burst site,shortness of breath angina,metal fatigue,failed to inflate,complex dissection,st wave,gangrenous toes,entrapment,middle calcification,
desaturate,cerebral events,clogged,shortness of breath burning,muscle weakness,failure to inflate,complications dissections,st wave depression,gritty sensation,entry tear,mitral annular calcification,
deteriorate,clinical adverse event,clot formation,shortness of breath diaphoresis,nausea,faulty,compression stent,t wave abnormalities,harden bloody,exit notch,non calcification,
diaphoretic,clinical event,clots,shortness of breath difficulty,nausea symptoms,flattened deflated state,conduction defect,t wave abnormality,hardened blood,extrusion,non calcified,
difficult to position,clinical events,clotted,shortness of breath fatigue,nauseated,flow impairment,coronary leak,t wave changes,hardened blood residue,fixed defect,severely calcified,
difficulty crossing,collapsed in,clotting,shortness of breath loss of consciousness,nauseous,flow wire entrapment,coronary occlusion,t wave flattening,haziness,flaring damage,tortuosity calcification,
difficulty moving,complete blood,commplications,shortness of breath palpitation,needles and pins sensations,fluctuated in intensity,coronary spasm,t wave inversion,hazy appearance,fracture,tortuous calcified,
difficulty saying words,complete loss,complication,shortness of breath sob,not feeling right,force passage resistance,bifurcation disease,t wave inversions,hazy spot,fracture break,tortuousity or calcification,
difficulty to position,contact reaction,complications device,shortness of breath stemi,not feeling well,fracture deformity,defective device,t wave inversions in,hissing noise,fracture disruption,vascular calcification,
difficulty to remove,crossing difficulties,complications occurred,shortness of breath weakness,not felt well,frictional resistance,des restenosis,t waves,irregular shape,fracture of,vessel calcification,
dyspneic,crossing difficulty,compression resistance,shortness of breathing,numbness,impairment damage,discrete stenosis,vf wave,irregular texture,fracture point,,
facial droop pedal pushes,crossing failure,compromised flow,shortness of breathing issues,other symptoms,inflation deflation,diseased vessel resistance,wave depression,irregularities,fractured point,,
facial twitching,damage awareness,contrast leak,shortness with breath,pain of scale,injury illness impairment,dissection,wave inversion,joules,fractured tip,,
failed to position difficulty,damage bunching,contrast leakage,tachypnea,pain symptoms,intimal damage,dissection deformation problem,anteroseptal defect,lead in scratches,fractures,,
failed to sustain,damage of strain,contrast leaking,tightness angina,painful,intimal disruption,dissection tear,apical septal perfusion defect,leg edema,fragmentation,,
failure to advance,death,damage leak,worsening of symptoms,physical weakness,intimal injury,distal dissection,cardiac wall motion,leg oedema,hole or tear,,
failure to cross,death fatigue,deflation,,poor appetite,kink deformation,distal narrowing,abnormal stress test,low density appearance,hub damage,,
failure to fold,death mi,dye leakage,,pressure tightness,kink in their structure,distal stent damage,focal collapse,open sores,injured,,
failure to follow steps,death occur,error,,radiating,labeling error,ductal constriction,abnormal rotation sound,pain scar tissue,injuries,,
failure to thrive,death stroke,flow degradation,,relief break,leak of contrast,early aneurysm,diffusion restriction,pale face,injury,,
fall loss of consciousness,deathly ill,flow disruption,,restlessness,leakage of contrast,eccentric stenosis,cardiac compression,pale greenish,inner damage,,
fell down,drug reaction,flow limitation,,shakes and chills,left axis deviation,edge dissection,abnormal stress,palpit,inner shaft break,,
focal deficits,drugged,flow limiting,,shaking chill,lesion deformation problem,edge dissection malapposition,abnormalties,patchy,jagged tear,,
free moving,electrical activity arrest,fluid leak,,skin numbness,longitudinal deformation,edge dissections,abnormal appearance,peripheral edema,kink tear,,
funky smell,foreign material substance,fluid leaked,,sore throat,longitudinal deformation compression,edge restenosis,abnormal image,pinched appearance,kinked shaft,,
gasping for air,harmed,fluid leaking,,soreness,longitudinal deformity,exit dissection,abnormal rhythm,pruritus,kinked tip,,
gasps for air,harms,grade flow,,sores,longitudinal shortening,f dissection,abnormal wall motion,puffy,laser cut fracture,,
he can not breathe,injury damage,hardened balloon,,spasms,longitudinal stent deformation,flow dissection,abnormalities in appearance,radiates,lead in scratch,,
hissing sound,lifted damage,hole leak,,stabbing sensation,loss in pressure,flow limiting dissection,abnormality,rashes,lesion damage,,
hypercapnic,lose circulation,hub leak,,stiffness,loss of blood flow,focal stenosis,abnormality defect,rca abnormalities,longitudinal injury,,
hypoxic,loss of,improper,,stomachache,loss of flow,grade a dissection,angiographic appearance,rca lesions,longitudinal tear,,
inability to lay flat,loss of blood,inflow outflow,,strangeness,loss of pressure,grade b dissection,angiographic material,red blood,material split cut,,
lack of breathing,lost blood,insertion difficulties,,sweatiness,loss of wire position,grade c dissection,,red blood like substance,member damage leak,,
language dysfunction,lost pulse,leak after inflation,,sweats,lost of pressure,grade d dissection,,red spots,mid shaft break,,
lethargic,material damage,leak burst,,tenderness,lost wire position,grade e dissection,,red substance,missing components,,
level of consciousness,mechanical damage,leak contrast,,tingling,lumen kink,hazy stenosis,,redness,napkin ring formation,,
lighthead,member damage,leak damage,,tingling down,lumen kinks,infarction,,rhonchi,of tip damage,,
loss of balance,memory loss,leak of fluid,,tingling sensation,malformation,inferior infarction,,roughness,outer partial break,,
loss of consciousness,mi trigger event,leak proof,,tired,malformed,inflow dissection,,scar tissue,outer tear,,
loss of eyesight,multiple kin,leak splash,,tiredness,malfunction,intimal dissection,,scarring,packing damage,,
loss of integrity,natural death,leak tear,,tortuousness,malfunctioned,intimal tear s type dissection,,shingles,partial break,,
loss of oxygen saturation,nose bleed,leakage,,tremors,malfunctions,ischemic dilatation,,skin condition,partial break fracture,,
loss of pulse,not recovered,leakage pinhole,,vomited,mandrel deformation,isr stenosis,,skin issues,partial tear,,
loss of side branch,of damage,leaking,,vomiting,material deformation,lad disease,,skin tears,pieced torn,,
lost consciousness,of death,limited flow,,walking difficulties,material deformation flared,lad lesion,,soft plaque,pin hole,,
malnourished,of stroke,loose connection,,weakness,material deformation shortening,lad occlusion,,soft tip,pin hole tear,,
mental drowsy,other damage defects,lost flow,,weight gain,material rupture loss of pressure,lad stenosis,,soft tissue thickening,plaque disruption,,
moving completely out of position,other incidents,material separation,,withdrawal difficulty,max deformation,left anterior fascicular block,,solidified crystals,polymer extrusion tear,,
multi organ failures,other similar incidents,mechanical complications,,anxiety depression,midshaft kink,left atrial enlargement,,spastic appearance,protrusion,,
neurological disturbance,packaging damage,microscopic leakage,,fever,misalignment,left bundle branch block,,swelling bulge,pseudo fracture,,
no sign of movement,passed away,missing component,,depression,mislabeling,left to right shunt,,tortuous,radial compression,,
no signs of movement,passing away,moisture leak,,coughed,narrowing of flow,lesion stenosis,,ulcers,radial scratch,,
non responsive,patient harm, reflow phenomenon,,coughing,nonconforming material,limiting dissection,,ulcers sores,radial tear,,
non verbal,patient injury,no signs of inflation,,choking,obstruction in the flow,lll stenosis,,unhinged,reformation,,
not able to survive,patient sequela,pateint complications,,banged up,obstruction of flow,loss of coronary flow,,vascular congestion,rigid structure,,
noxious stimuli,patient sequelae,patent blood flow,,bent subsequently,of opening from the folded position,luminal occlusion,,vascular lesions,scrape,,
onset of stroke like,pea arrest,patent complications,,sweating,other deformation,luminal stenosis,,wet skin,second shaft break,,
peeling of hands,physical damage,patent correction,,depressed,partially inflated,mid occlusion,,wheezes,shaft break,,
progression of disease,physical property issue,patent des,,faint,partially inflated state,mid stenosis,,wheezing,shaft breaks,,
pupillary response,procedural delay,patent hem,,,peeling of the sole,mitral insufficiency,,white fibers,shaft broke,,
pupils were dilated,procedural events,patient complications,,,premature dislodgement,mitral stenosis,,white spots,shaft damage,,
reactive pupils,reaction symptoms,patiet complications,,,product malfunction,multiple dissections,,wriggled,shaft damaged,,
regained consciousness,seizure activity,persistent defect,,,product quality,multiple vessel block,,wrinkles,shaft detachment,,
right hand tremors,signs of damage,pin hole leak,,,pulled out of shape,multiple vessel blockage,,,shaft fracture,,
rise in pressure,signs of tip damage,pinhole burst,,,scratches indentation,multivessel,,,shaft fracture age,,
signs of movement,skin reaction,pinhole leak,,,severely tortuous,near a bifurcation,,,shaft hole,,
sluggis,spontaneous circulation,plaque leak,,,shaft beak,neo atheroma,,,shaft separation,,
spontaneous respirations,strain relief damage,poor flow,,,shaft bends kinks,neo atherosclerosis,,,shaft tear,,
stimuli to pain,strange reaction,pressure gradient,,,shaft kink,neoatherosclerosis,,,shaft tears,,
strong kink,stretch damage,pressure leakage,,,shaft kinked,neointimal hyperplasia,,,side branch,,
stubbed,stroke event,procedural,,,st deviation,non conformances dissection,,,skin tear,,
succumbed to,structural damage,procedural complications,,,st deviations,occlusion,,,split cut,,
tachypneic,sudden cardiac death,procedure,,,stent malposition,occlusion bifurcation,,,stretched damage,,
unable to complete,sudden change,product quality issue,,,strain to the bi component bond,occlusion decontraction,,,stretching damage,,
unable to do,sudden changes,product quality problem,,,stress kinked tip,occlusion stenosis,,,tear and,,
unable to get up,sudden death,puffed,,,stretched deformation,occlusions,,,tear hole,,
unable to revive,twisting damage,pullback,,,stretched kinks,occlusions classification,,,tear site,,
unable to survive,unconsciousness,pullback resistance,,,stretched misalignment,occlusions myocardial infarction,,,tearing damage,,
unable to walk anymore,untoward effects,red clot,,,stretched strut,of movement stent,,,tears of holes,,
unsteady,vascular event,reflow phenomenon,,,strut deformation,of stent damage,,,tears or holes,,
unsteady on his feet,visual damage,residual clot,,,summary deformation,om occlusion,,,tip damage,,
untreated,without pulse,residual defect,,,ticked in error,ostial narrowing,,,tip tear,,
unusable,,residual effects,,,tip deformation,ostial stenosis,,,torn shaft,,
up out of the bed,,residual leak,,,tip kink,ostium stenosis,,,torn stretching,,
,,s complications,,,to fully inflate,patent coronary enzymes,,,torn tip,,
,,shaft leak,,,tortuosity deformation,patent lad,,,twisted bent shaft,,
,,sheared,,,twist in extrusion,patent stenosis,,,vascular tear,,
,,sheath pull,,,unable to inflate,patent stent,,,vessel closure,,
,,slightly opened,,,vessel curvature,patent vessel,,,vessel injury,,
,,strain to the port,,,vessel deformation,permanent impairment,,,wire damage,,
,,tear leak,,,wear and tear,plaque prolapse,,,wrap fracture,,
,,vascular complications,,,activation failures,plaque rupture,,,agonal aspirations,,
,,visible pinhole,,,,proximal disease,,,balloon difficulty,,
,,wire bias,,,,proximal edge dissection,,,compression forces,,
,,wire broke,,,,proximal obstruction,,,excessive force,,
,,wire movement issues,,,,proximal occlusion,,,excessive forces,,
,,without flow,,,,proximal stenosis,,,force resistance,,
,,,,,,pseudoaneurysm,,,acidosis,,
,,,,,,pseudoaneurysms,,,accordion appearance,,
,,,,,,pulmonary dilation,,,accordioned effect,,
,,,,,,pulmonary vein stenosis,,,accordioning,,
,,,,,,rca stenosis,,,balloon fold,,
,,,,,,re stenosis,,,balloon withdrawal resistance,,
,,,,,,residual stenosis,,,bond break,,
,,,,,,restenosis,,,break bumper,,
,,,,,,right bundle branch block,,,,,
,,,,,,s stenosis,,,,,
,,,,,,segmental stenosis,,,,,
,,,,,,septal infarct,,,,,
,,,,,,septal occlusion,,,,,
,,,,,,short stenosis,,,,,
,,,,,,side branch occlusion,,,,,
,,,,,,side branch stenosis,,,,,
,,,,,,spiral corona,,,,,
,,,,,,spiral dissection,,,,,
,,,,,,stenosed,,,,,
,,,,,,stenosed lesions,,,,,
,,,,,,stenosis,,,,,
,,,,,,stenosis deformation,,,,,
,,,,,,stenotic,,,,,
,,,,,,stent damage,,,,,
,,,,,,stent damaged,,,,,
,,,,,,stent deformation,,,,,
,,,,,,stent detachment,,,,,
,,,,,,stent dislodgement,,,,,
,,,,,,stent fracture,,,,,
,,,,,,stent imprint,,,,,
,,,,,,stent occlusion,,,,,
,,,,,,strut fracture,,,,,
,,,,,,tandem occlusions,,,,,
,,,,,,three vessel disease,,,,,
,,,,,,thrombotic occlusion,,,,,
,,,,,,tortuosity stenosis,,,,,
,,,,,,tortuous stenosis,,,,,
,,,,,,tortuous vessel,,,,,
,,,,,,total coronary occlusion,,,,,
,,,,,,total coronary occlusions,,,,,
,,,,,,total occlusion,,,,,
,,,,,,total occlusions,,,,,
,,,,,,tough stenosis,,,,,
,,,,,,tripple vessel disease,,,,,
,,,,,,tubular lesion,,,,,
,,,,,,tubular stenosis,,,,,
,,,,,,two vessel disease,,,,,
,,,,,,type b dissection,,,,,
,,,,,,unstable stent,,,,,
,,,,,,vascular occlusion,,,,,
,,,,,,vascular stenosis,,,,,
,,,,,,vein stenosis,,,,,
,,,,,,vessel angulation,,,,,
,,,,,,vessel blockage,,,,,
,,,,,,vessel damage,,,,,
,,,,,,vessel dilatation,,,,,
,,,,,,vessel dissection,,,,,
,,,,,,vessel failure,,,,,
,,,,,,vessel occlusion,,,,,
,,,,,,vessel recoil,,,,,
,,,,,,vessel spasm,,,,,
